title,author,assignees,number,url,state,closedAt,createdAt,updatedAt,labels,issues
"removed the file changes detector, reduced schedule to 5 mins",mikiasyonas,{'mikiasyonas'},1617,https://github.com/weiks/esports-backend/pull/1617,MERGED,2022-06-08T19:39:02Z,2022-06-08T19:30:36Z,2022-06-27T21:35:36Z,{'interview'},[]
changed the runs to every 20 minutes,mikiasyonas,{'mikiasyonas'},1618,https://github.com/weiks/esports-backend/pull/1618,MERGED,2022-06-08T20:03:36Z,2022-06-08T20:03:22Z,2022-06-27T21:35:29Z,{'interview'},[]
added the run script for refilling wallets on the blockchain-test-report workflow,mikiasyonas,{'mikiasyonas'},1672,https://github.com/weiks/esports-backend/pull/1672,MERGED,2022-06-16T20:32:11Z,2022-06-16T18:04:33Z,2022-06-27T21:35:19Z,"{'good for newcomers', 'interview'}","[{'assignees': {'mikiasyonas'}, 'labels': {'good for newcomers'}, 'number': 1619, 'title': '[Tooling] Make a Github Action to request more Klay on testnet once per day (or every few days as needed)', 'url': 'https://github.com/weiks/esports-backend/issues/1619', 'state': 'CLOSED', 'updatedAt': '2022-06-17T13:11:18Z'}]"
updated the test runs to run daily,mikiasyonas,{'mikiasyonas'},1620,https://github.com/weiks/esports-backend/pull/1620,MERGED,2022-06-08T20:47:31Z,2022-06-08T20:46:54Z,2022-06-27T21:35:16Z,{'interview'},[]
added the vars and made the run for every 5 minutes to test,mikiasyonas,{'mikiasyonas'},1679,https://github.com/weiks/esports-backend/pull/1679,MERGED,2022-06-17T13:11:18Z,2022-06-17T12:40:10Z,2022-06-27T21:35:05Z,"{'good for newcomers', 'interview'}","[{'assignees': {'mikiasyonas'}, 'labels': {'good for newcomers'}, 'number': 1619, 'title': '[Tooling] Make a Github Action to request more Klay on testnet once per day (or every few days as needed)', 'url': 'https://github.com/weiks/esports-backend/issues/1619', 'state': 'CLOSED', 'updatedAt': '2022-06-17T13:11:18Z'}]"
made the schedule daily for the github action to request more klay,mikiasyonas,{'mikiasyonas'},1682,https://github.com/weiks/esports-backend/pull/1682,MERGED,2022-06-17T13:55:28Z,2022-06-17T13:43:31Z,2022-06-27T21:34:34Z,"{'good for newcomers', 'interview'}","[{'assignees': {'mikiasyonas'}, 'labels': {'good for newcomers'}, 'number': 1619, 'title': '[Tooling] Make a Github Action to request more Klay on testnet once per day (or every few days as needed)', 'url': 'https://github.com/weiks/esports-backend/issues/1619', 'state': 'CLOSED', 'updatedAt': '2022-06-17T13:11:18Z'}]"
added a tip to ease the pace of understanding how the system works to the README.md,mikiasyonas,{'mikiasyonas'},1684,https://github.com/weiks/esports-backend/pull/1684,MERGED,2022-06-17T20:54:51Z,2022-06-17T20:48:54Z,2022-06-27T21:29:23Z,{'docs'},[]
Docs/teamworkflow,brianmazzocchi,{'brianmazzocchi'},1481,https://github.com/weiks/esports-backend/pull/1481,MERGED,2022-05-20T21:51:15Z,2022-05-20T12:16:28Z,2022-06-27T21:14:42Z,{'docs'},[]
Restyled docs and added better tech overview info,brianmazzocchi,{'brianmazzocchi'},1492,https://github.com/weiks/esports-backend/pull/1492,MERGED,2022-05-23T21:15:55Z,2022-05-23T18:26:05Z,2022-06-27T21:14:37Z,{'docs'},[]
Improved readability of docs,bmcilw1,{'bmcilw1'},1573,https://github.com/weiks/esports-backend/pull/1573,MERGED,2022-06-03T20:35:56Z,2022-06-03T20:16:45Z,2022-06-27T21:13:22Z,{'docs'},[]
Clarify pushing branches vs PRs,bmcilw1,{'bmcilw1'},1666,https://github.com/weiks/esports-backend/pull/1666,MERGED,2022-06-15T15:52:51Z,2022-06-15T15:28:16Z,2022-06-27T21:12:24Z,{'docs'},[]
Updated Kanban doc after feedback,bmcilw1,{'bmcilw1'},1665,https://github.com/weiks/esports-backend/pull/1665,MERGED,2022-06-15T14:55:54Z,2022-06-15T14:21:00Z,2022-06-27T21:12:10Z,{'docs'},[]
Add Kanban doc,bmcilw1,{'bmcilw1'},1642,https://github.com/weiks/esports-backend/pull/1642,MERGED,2022-06-13T13:54:09Z,2022-06-13T13:52:58Z,2022-06-27T21:12:03Z,{'docs'},[]
Docs/docs general update,brianmazzocchi,{'brianmazzocchi'},1696,https://github.com/weiks/esports-backend/pull/1696,MERGED,2022-06-21T16:06:19Z,2022-06-21T15:14:51Z,2022-06-27T21:11:04Z,{'docs'},[]
Docs: Begin coding standards,bmcilw1,{'bmcilw1'},1700,https://github.com/weiks/esports-backend/pull/1700,MERGED,2022-06-23T14:06:26Z,2022-06-22T18:42:13Z,2022-06-27T21:10:48Z,{'docs'},[]
"Docs: Communication Updates: Github vs Discord, Public vs Private",bmcilw1,{'bmcilw1'},1701,https://github.com/weiks/esports-backend/pull/1701,MERGED,2022-06-23T14:05:58Z,2022-06-22T19:18:16Z,2022-06-27T21:10:43Z,{'docs'},[]
Yunite join preflight check,Mathspy,{'Mathspy'},1710,https://github.com/weiks/esports-backend/pull/1710,MERGED,2022-06-27T17:14:13Z,2022-06-24T20:41:33Z,2022-06-27T17:14:14Z,set(),[]
Modal: Improve design & functionality ,SinshiSmith,{'SinshiSmith'},1712,https://github.com/weiks/esports-backend/pull/1712,MERGED,2022-06-27T16:41:22Z,2022-06-27T07:57:50Z,2022-06-27T16:41:23Z,set(),[]
1502 - Discord server list,brianmazzocchi,{'brianmazzocchi'},1704,https://github.com/weiks/esports-backend/pull/1704,MERGED,2022-06-24T18:03:44Z,2022-06-23T16:30:20Z,2022-06-24T18:03:45Z,set(),"[{'assignees': {'brianmazzocchi'}, 'labels': set(), 'number': 1502, 'title': '[Frontend] Add drop-down to select a Discord server during event creation for Fortnite events', 'url': 'https://github.com/weiks/esports-backend/issues/1502', 'state': 'CLOSED', 'updatedAt': '2022-06-24T18:37:11Z'}]"
Join discord button bugfix,CarlosViller,{'CarlosViller'},1707,https://github.com/weiks/esports-backend/pull/1707,MERGED,2022-06-24T14:18:26Z,2022-06-24T13:14:15Z,2022-06-24T14:18:27Z,{'bug'},"[{'assignees': {'CarlosViller'}, 'labels': {'bug'}, 'number': 1706, 'title': ""[Bug] The homepage's Discord button doesn't work"", 'url': 'https://github.com/weiks/esports-backend/issues/1706', 'state': 'CLOSED', 'updatedAt': '2022-06-24T14:18:26Z'}]"
Yunite changestatus get leaderboard,gonzalovelasco,{'gonzalovelasco'},1690,https://github.com/weiks/esports-backend/pull/1690,MERGED,2022-06-23T16:15:11Z,2022-06-20T18:43:52Z,2022-06-23T16:15:12Z,set(),"[{'assignees': {'gonzalovelasco'}, 'labels': set(), 'number': 1541, 'title': '[Backend] During `/changeStatus` FINISHED we can query Yunite leaderboard and dispatch internal /pickWinner call', 'url': 'https://github.com/weiks/esports-backend/issues/1541', 'state': 'CLOSED', 'updatedAt': '2022-06-23T16:33:08Z'}]"
Create yunite/guilds/:id/tournaments/upcoming endpoint,Mathspy,{'Mathspy'},1697,https://github.com/weiks/esports-backend/pull/1697,MERGED,2022-06-22T19:30:12Z,2022-06-21T19:49:32Z,2022-06-22T19:30:13Z,set(),[]
Update playwright and related packages,bmcilw1,{'bmcilw1'},1692,https://github.com/weiks/esports-backend/pull/1692,MERGED,2022-06-21T20:38:44Z,2022-06-20T20:40:52Z,2022-06-22T08:33:53Z,{'cleanup'},"[{'assignees': {'bmcilw1'}, 'labels': {'cleanup'}, 'number': 1691, 'title': '[Cleanup] Update Playwright to 1.22', 'url': 'https://github.com/weiks/esports-backend/issues/1691', 'state': 'CLOSED', 'updatedAt': '2022-06-21T20:38:44Z'}]"
Q2s [WIP] Purchaseq2 removepopup,gonzalovelasco,"{'gonzalovelasco', 'CarlosViller'}",1544,https://github.com/weiks/esports-backend/pull/1544,CLOSED,2022-06-13T16:18:58Z,2022-05-31T16:53:19Z,2022-06-22T03:53:36Z,{'enhancement'},"[{'assignees': {'gonzalovelasco'}, 'labels': {'enhancement'}, 'number': 1511, 'title': 'Finish pending task from Q2s page', 'url': 'https://github.com/weiks/esports-backend/issues/1511', 'state': 'CLOSED', 'updatedAt': '2022-06-09T16:15:15Z'}]"
Frontend: Ask Discord connections for guilds scope,Mathspy,{'Mathspy'},1695,https://github.com/weiks/esports-backend/pull/1695,MERGED,2022-06-21T14:53:37Z,2022-06-21T14:25:53Z,2022-06-21T14:53:38Z,set(),[]
Fix `pickWinner` failure with first ranks rewarding 0 Quarters,alexangc,{'alexangc'},1689,https://github.com/weiks/esports-backend/pull/1689,MERGED,2022-06-20T16:03:32Z,2022-06-20T15:52:04Z,2022-06-20T16:03:33Z,set(),[]
Add YUNITE_TOKEN to env vars,Mathspy,{'Mathspy'},1688,https://github.com/weiks/esports-backend/pull/1688,MERGED,2022-06-20T14:41:36Z,2022-06-20T14:33:19Z,2022-06-20T14:41:37Z,set(),[]
Document and show examples of how to handle errors in the backend,Mathspy,{'Mathspy'},1677,https://github.com/weiks/esports-backend/pull/1677,MERGED,2022-06-20T13:42:54Z,2022-06-16T20:57:16Z,2022-06-20T13:42:55Z,{'cleanup'},"[{'assignees': set(), 'labels': {'cleanup'}, 'number': 1673, 'title': '[Cleanup/Backend] A unified error handling strategy', 'url': 'https://github.com/weiks/esports-backend/issues/1673', 'state': 'OPEN', 'updatedAt': '2022-06-20T14:40:27Z'}]"
Fix placement selector not allowing numbers finishing with `0`,alexangc,{'alexangc'},1687,https://github.com/weiks/esports-backend/pull/1687,MERGED,2022-06-20T13:42:49Z,2022-06-20T09:30:00Z,2022-06-20T13:42:49Z,set(),[]
add joi validation yunite,gonzalovelasco,{'gonzalovelasco'},1671,https://github.com/weiks/esports-backend/pull/1671,MERGED,2022-06-17T16:52:55Z,2022-06-16T17:03:22Z,2022-06-17T16:52:56Z,set(),"[{'assignees': {'gonzalovelasco'}, 'labels': set(), 'number': 1536, 'title': '[Backend] Update /host endpoint to accept optional yunite parameters', 'url': 'https://github.com/weiks/esports-backend/issues/1536', 'state': 'CLOSED', 'updatedAt': '2022-06-17T16:54:45Z'}]"
Replace normal mode with revised payout,CarlosViller,{'CarlosViller'},1683,https://github.com/weiks/esports-backend/pull/1683,MERGED,2022-06-17T14:35:11Z,2022-06-17T14:14:55Z,2022-06-17T14:35:14Z,"{'bug', 'critical'}","[{'assignees': {'CarlosViller'}, 'labels': {'bug', 'critical'}, 'number': 1680, 'title': '[Bug] `/new` page: Clicking on the ""normal"" game mode makes the creation fail', 'url': 'https://github.com/weiks/esports-backend/issues/1680', 'state': 'CLOSED', 'updatedAt': '2022-06-17T14:35:11Z'}]"
Enable CI for the `yunite-marathon` branch,alexangc,{'alexangc'},1681,https://github.com/weiks/esports-backend/pull/1681,MERGED,2022-06-17T13:51:26Z,2022-06-17T13:09:36Z,2022-06-17T13:51:29Z,set(),[]
Add `yunite` to event's typedef,alexangc,{'alexangc'},1678,https://github.com/weiks/esports-backend/pull/1678,MERGED,2022-06-17T13:05:51Z,2022-06-17T12:04:19Z,2022-06-17T13:08:24Z,set(),"[{'assignees': {'alexangc'}, 'labels': set(), 'number': 1535, 'title': '[Backend] Update model to save the guildId and Yunite tournament id', 'url': 'https://github.com/weiks/esports-backend/issues/1535', 'state': 'CLOSED', 'updatedAt': '2022-06-20T17:18:28Z'}]"
fix country code from twilio,gonzalovelasco,{'gonzalovelasco'},1676,https://github.com/weiks/esports-backend/pull/1676,MERGED,2022-06-16T20:42:02Z,2022-06-16T20:33:11Z,2022-06-17T06:43:15Z,"{'bug', 'critical'}","[{'assignees': {'gonzalovelasco'}, 'labels': {'bug', 'critical'}, 'number': 1675, 'title': 'Q2 - US cell number is whitelisting crypto address', 'url': 'https://github.com/weiks/esports-backend/issues/1675', 'state': 'CLOSED', 'updatedAt': '2022-06-17T15:32:48Z'}]"
Fix `pickWinner`'s distribution loop,alexangc,{'alexangc'},1670,https://github.com/weiks/esports-backend/pull/1670,MERGED,2022-06-16T17:36:10Z,2022-06-16T14:58:13Z,2022-06-17T06:23:53Z,set(),[]
Symbolic places bugfix,CarlosViller,{'CarlosViller'},1674,https://github.com/weiks/esports-backend/pull/1674,MERGED,2022-06-16T20:00:09Z,2022-06-16T19:51:36Z,2022-06-16T20:00:31Z,"{'bug', 'critical'}","[{'assignees': {'gonzalovelasco', 'brianmazzocchi', 'CarlosViller'}, 'labels': {'bug', 'critical'}, 'number': 1667, 'title': '[Bug] Symbolic placements cause event pages to break', 'url': 'https://github.com/weiks/esports-backend/issues/1667', 'state': 'CLOSED', 'updatedAt': '2022-06-16T20:00:08Z'}]"
Create yunite/guilds endpoint,Mathspy,{'Mathspy'},1510,https://github.com/weiks/esports-backend/pull/1510,MERGED,2022-06-16T14:17:21Z,2022-05-24T20:49:45Z,2022-06-16T14:17:25Z,set(),"[{'assignees': {'Mathspy'}, 'labels': set(), 'number': 1501, 'title': ""[Backend] Endpoint to list a user's Discord servers and their Yunite connection"", 'url': 'https://github.com/weiks/esports-backend/issues/1501', 'state': 'CLOSED', 'updatedAt': '2022-06-20T15:08:27Z'}]"
Fix typo in `collectBonus`'s Discord connection check,alexangc,{'alexangc'},1668,https://github.com/weiks/esports-backend/pull/1668,MERGED,2022-06-16T14:09:50Z,2022-06-16T08:51:18Z,2022-06-16T14:09:58Z,set(),[]
pick winner new event tests,gonzalovelasco,{'gonzalovelasco'},1546,https://github.com/weiks/esports-backend/pull/1546,CLOSED,2022-06-03T15:46:12Z,2022-05-31T21:13:49Z,2022-06-16T12:06:50Z,set(),[]
pick winner integration tests,gonzalovelasco,{'gonzalovelasco'},1556,https://github.com/weiks/esports-backend/pull/1556,CLOSED,2022-06-03T15:52:24Z,2022-06-01T19:35:30Z,2022-06-16T12:06:49Z,set(),[]
[WIP] Pick winner logic,CarlosViller,{'CarlosViller'},1490,https://github.com/weiks/esports-backend/pull/1490,CLOSED,2022-06-06T21:35:29Z,2022-05-23T15:49:21Z,2022-06-16T12:05:27Z,{'enhancement'},"[{'assignees': {'SinshiSmith', 'paulofer85', 'alexangc', 'CarlosViller', 'brianmazzocchi', 'Mathspy'}, 'labels': {'enhancement'}, 'number': 1434, 'title': '[UX] Move pick winner payout details to the Create Tournament and Edit Tournament pages', 'url': 'https://github.com/weiks/esports-backend/issues/1434', 'state': 'CLOSED', 'updatedAt': '2022-06-13T12:36:18Z'}]"
"Revert ""added vesting address""",NirajBhattarai,{'NirajBhattarai'},1646,https://github.com/weiks/esports-backend/pull/1646,MERGED,2022-06-13T16:42:18Z,2022-06-13T16:32:35Z,2022-06-16T12:04:52Z,set(),[]
Q2s new flow to pay with 3DS2,gonzalovelasco,{'gonzalovelasco'},1631,https://github.com/weiks/esports-backend/pull/1631,MERGED,2022-06-15T17:02:17Z,2022-06-09T20:53:10Z,2022-06-16T12:04:50Z,"{'bug', 'critical'}","[{'assignees': {'gonzalovelasco'}, 'labels': {'bug', 'critical'}, 'number': 1616, 'title': '[Q2s] Checkout - Create new flow with Payment asynchronous redirect', 'url': 'https://github.com/weiks/esports-backend/issues/1616', 'state': 'CLOSED', 'updatedAt': '2022-06-15T17:02:17Z'}, {'assignees': set(), 'labels': {'bug', 'critical'}, 'number': 1653, 'title': '[Bug] Checkout.com related errors in the logs', 'url': 'https://github.com/weiks/esports-backend/issues/1653', 'state': 'CLOSED', 'updatedAt': '2022-06-15T17:02:17Z'}]"
Move lastBonus to users collection from discord collection,Mathspy,{'Mathspy'},1659,https://github.com/weiks/esports-backend/pull/1659,MERGED,2022-06-15T14:10:29Z,2022-06-14T18:37:26Z,2022-06-15T14:10:33Z,"{'bug', 'critical'}","[{'assignees': {'Mathspy'}, 'labels': {'bug', 'critical'}, 'number': 1640, 'title': '[Bug] Investigate possible qBonus exploit', 'url': 'https://github.com/weiks/esports-backend/issues/1640', 'state': 'CLOSED', 'updatedAt': '2022-06-15T14:10:29Z'}]"
Ignore old migration scripts after they have done their job,Mathspy,{'Mathspy'},1664,https://github.com/weiks/esports-backend/pull/1664,MERGED,2022-06-15T13:30:43Z,2022-06-15T13:20:33Z,2022-06-15T13:30:45Z,set(),[]
Write reconciliation script for latest payout distribution bug,alexangc,{'alexangc'},1663,https://github.com/weiks/esports-backend/pull/1663,MERGED,2022-06-15T13:19:58Z,2022-06-15T11:56:05Z,2022-06-15T13:20:03Z,"{'bug', 'critical'}","[{'assignees': {'alexangc'}, 'labels': {'bug', 'critical'}, 'number': 1662, 'title': 'Compensate people affected by rewards being ordered by teamId', 'url': 'https://github.com/weiks/esports-backend/issues/1662', 'state': 'CLOSED', 'updatedAt': '2022-06-15T15:56:09Z'}]"
Fix bug where rewards were ordered by teamIds instead of ranks,Mathspy,{'Mathspy'},1661,https://github.com/weiks/esports-backend/pull/1661,MERGED,2022-06-14T20:47:45Z,2022-06-14T20:23:34Z,2022-06-15T06:42:16Z,set(),[]
Add new link targeting vault when Q2s option with locked time is purchased,CarlosViller,{'CarlosViller'},1660,https://github.com/weiks/esports-backend/pull/1660,MERGED,2022-06-14T20:28:47Z,2022-06-14T19:36:57Z,2022-06-14T20:28:54Z,{'enhancement'},"[{'assignees': {'CarlosViller'}, 'labels': {'enhancement'}, 'number': 1626, 'title': '[Q2s] On the purchase confirmation page, add a link to the new vault page for True Believer/Diamond hands purchases', 'url': 'https://github.com/weiks/esports-backend/issues/1626', 'state': 'CLOSED', 'updatedAt': '2022-06-14T20:28:47Z'}]"
[Q2] Updated required Link and texts,brianmazzocchi,{'brianmazzocchi'},1658,https://github.com/weiks/esports-backend/pull/1658,MERGED,2022-06-14T18:26:14Z,2022-06-14T17:10:15Z,2022-06-14T18:26:18Z,{'enhancement'},"[{'assignees': {'brianmazzocchi'}, 'labels': {'enhancement'}, 'number': 1581, 'title': '[Q2s] Rebrand invest to q2s in invest.poq.gg page', 'url': 'https://github.com/weiks/esports-backend/issues/1581', 'state': 'CLOSED', 'updatedAt': '2022-06-14T18:26:56Z'}]"
Allow hosts to edit prizes freely,CarlosViller,{'CarlosViller'},1651,https://github.com/weiks/esports-backend/pull/1651,MERGED,2022-06-14T15:34:02Z,2022-06-13T20:59:17Z,2022-06-14T15:34:06Z,"{'bug', 'critical'}","[{'assignees': {'CarlosViller'}, 'labels': {'bug', 'critical'}, 'number': 1637, 'title': '[Bug] Allow hosts to decrease allocated quarters in the edit window', 'url': 'https://github.com/weiks/esports-backend/issues/1637', 'state': 'CLOSED', 'updatedAt': '2022-06-15T12:36:30Z'}]"
Fix `collectBonus` for previously unlinked Discord accounts,alexangc,{'alexangc'},1656,https://github.com/weiks/esports-backend/pull/1656,MERGED,2022-06-14T13:12:07Z,2022-06-14T08:48:09Z,2022-06-14T13:12:10Z,set(),[]
